             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1697.6928419924
          20.0000000000         8426.3868909876
          30.0000000000        19542.1231712698
          40.0000000000        32699.2643565571
          50.0000000000        44879.1288569732
          60.0000000000        53177.7510482756
          70.0000000000        55812.9258736182
          80.0000000000        52559.2147876184
          90.0000000000        44500.4713908832
         100.0000000000        33957.6874425833
         110.0000000000        23626.8968548515
         120.0000000000        16306.0816993051
         130.0000000000        13745.1428825464
         140.0000000000        16052.6106919940
         150.0000000000        21943.7335291395
         160.0000000000        29339.4174387600
         170.0000000000        36444.3167369426
         180.0000000000        41910.5890635297
         190.0000000000        44957.3792547716
         200.0000000000        45244.4934172718
         210.0000000000        43036.1907373406
         220.0000000000        38883.3824759245
         230.0000000000        33601.7956857366
         240.0000000000        28411.7784543071
         250.0000000000        24641.6551757053
         260.0000000000        23566.3108201440
         270.0000000000        25075.8655932217
         280.0000000000        27789.1831708130
         290.0000000000        29805.7062135324
         300.0000000000        29629.1518501678
         310.0000000000        26768.2417979621
         320.0000000000        21560.5076934030
         330.0000000000        15007.7510154132
         340.0000000000         8266.9297824736
         350.0000000000         2783.0351007969
         360.0000000000          102.5520244833
