             angle (deg)             energy (J/mol)
           0.0000000000           23.5559847008
          10.0000000000         1257.7404561184
          20.0000000000         5078.4912485645
          30.0000000000        10838.9272046926
          40.0000000000        17463.0948534461
          50.0000000000        23526.4819873364
          60.0000000000        27994.9304673075
          70.0000000000        30439.6725368000
          80.0000000000        31305.3365971826
          90.0000000000        31694.5643257002
         100.0000000000        32029.0661351566
         110.0000000000        29591.2816401369
         120.0000000000        27597.9522630891
         130.0000000000        27676.9220478522
         140.0000000000        30140.7908839124
         150.0000000000        33939.0673975023
         160.0000000000        37701.7631370525
         170.0000000000        40312.9382682842
         180.0000000000        41044.8252341629
         190.0000000000        39583.4746385182
         200.0000000000        36364.3938956613
         210.0000000000        31746.5859798514
         220.0000000000        26745.0402557249
         230.0000000000        22262.7606425122
         240.0000000000        18704.4495649639
         250.0000000000        16571.4698505546
         260.0000000000        16479.8162759430
         270.0000000000        18080.9301055923
         280.0000000000        20094.5703493594
         290.0000000000        21287.3454370546
         300.0000000000        20861.0850330581
         310.0000000000        18551.1019946314
         320.0000000000        14573.6902512985
         330.0000000000         9693.5686445943
         340.0000000000         4902.5302480118
         350.0000000000         1404.2328462852
         360.0000000000            0.0000000000
