             angle (deg)             energy (J/mol)
           0.0000000000          203.1821830979
          10.0000000000          987.5712697443
          20.0000000000         4195.3544867925
          30.0000000000         9237.6217137896
          40.0000000000        15175.7436238428
          50.0000000000        20780.7079804783
          60.0000000000        25014.1190876113
          70.0000000000        26923.9365651196
          80.0000000000        25217.0728522493
          90.0000000000        19961.4338772098
         100.0000000000        14259.9561457797
         110.0000000000        10084.8442629843
         120.0000000000         8542.9065747538
         130.0000000000         9804.3752406438
         140.0000000000        13185.7801376868
         150.0000000000        17651.0806433377
         160.0000000000        22116.9718864776
         170.0000000000        25666.9076194004
         180.0000000000        27653.1402703128
         190.0000000000        27936.7388885196
         200.0000000000        26728.8776786400
         210.0000000000        24549.6734136495
         220.0000000000        21929.0911165144
         230.0000000000        19523.8523178574
         240.0000000000        18112.4702353981
         250.0000000000        17995.4727107860
         260.0000000000        18478.7222146663
         270.0000000000        19635.3861772879
         280.0000000000        20881.2961310917
         290.0000000000        21095.6130590868
         300.0000000000        19493.0735830176
         310.0000000000        16083.8987739417
         320.0000000000        11491.4978202086
         330.0000000000         6734.9059817823
         340.0000000000         2865.9142549954
         350.0000000000          450.9427283136
         360.0000000000            0.0000000000
