             angle (deg)             energy (J/mol)
           0.0000000000          149.0522524699
          10.0000000000          995.5107812267
          20.0000000000         3594.1465250673
          30.0000000000         7748.4460704517
          40.0000000000        13162.0377423780
          50.0000000000        19376.4646321556
          60.0000000000        25646.5337404554
          70.0000000000        31583.4662991144
          80.0000000000        36374.0951177224
          90.0000000000        39614.4345328725
         100.0000000000        41158.9215815179
         110.0000000000        41103.1795940114
         120.0000000000        39183.6661456846
         130.0000000000        31635.7478778383
         140.0000000000        25639.8045842934
         150.0000000000        21203.8834220818
         160.0000000000        18285.0994764948
         170.0000000000        16591.9723788261
         180.0000000000        15891.1923352313
         190.0000000000        15810.4897205302
         200.0000000000        16051.1535396106
         210.0000000000        16422.5698769585
         220.0000000000        16911.0677552194
         230.0000000000        17676.0859038564
         240.0000000000        18803.3232640931
         250.0000000000        20325.2940260303
         260.0000000000        22064.1415781166
         270.0000000000        23557.9801091410
         280.0000000000        21264.7661382700
         290.0000000000        20276.7669120973
         300.0000000000        18130.8749893796
         310.0000000000        14912.7525539851
         320.0000000000        11065.5340975435
         330.0000000000         6981.3747808489
         340.0000000000         3388.1550571310
         350.0000000000          938.2722588077
         360.0000000000            0.0000000000
