             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          540.9789948787
          20.0000000000         1976.8937478804
          30.0000000000         3858.7785323697
          40.0000000000         5608.7818334283
          50.0000000000         6753.2267196868
          60.0000000000         6940.8869476063
          70.0000000000         6130.1089617989
          80.0000000000         4593.4905362178
          90.0000000000         2819.2171144378
         100.0000000000         1372.1991225025
         110.0000000000          610.8750520521
         120.0000000000          699.0157078425
         130.0000000000         1690.6197453297
         140.0000000000         3457.8174449750
         150.0000000000         5686.1185573123
         160.0000000000         7921.5505272207
         170.0000000000         9655.7089366010
         180.0000000000        10398.1399101117
         190.0000000000         9907.0637910937
         200.0000000000         8192.4679810511
         210.0000000000         5825.5247232321
         220.0000000000         3644.9683258612
         230.0000000000         2311.4428163568
         240.0000000000         2139.8427710659
         250.0000000000         3043.6395913004
         260.0000000000         4721.5624193466
         270.0000000000         6661.7543046643
         280.0000000000         8328.9152087308
         290.0000000000         9248.2812430891
         300.0000000000         9206.5147913564
         310.0000000000         8235.7782267164
         320.0000000000         6466.0337922030
         330.0000000000         4238.4756963777
         340.0000000000         2103.7579010117
         350.0000000000          563.4296441130
         360.0000000000           30.6054518908
