             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1657.8928895271
          20.0000000000         4763.4312654610
          30.0000000000         8617.4681451605
          40.0000000000        12020.1815990634
          50.0000000000        14024.3542904720
          60.0000000000        13951.2209918079
          70.0000000000        11806.6733251290
          80.0000000000         8143.6153051460
          90.0000000000         4191.8126873305
         100.0000000000         1254.5373462874
         110.0000000000          226.8274347453
         120.0000000000         1464.1362509358
         130.0000000000         4575.4533521349
         140.0000000000         8700.7358731090
         150.0000000000        12937.5811340051
         160.0000000000        16193.6210383759
         170.0000000000        17657.0063963834
         180.0000000000        16889.3023612903
         190.0000000000        14126.4232228668
         200.0000000000         9986.7529627470
         210.0000000000         5628.4704569189
         220.0000000000         2318.6708173654
         230.0000000000         1035.7176860451
         240.0000000000         2261.9468929985
         250.0000000000         5799.7108086528
         260.0000000000        10954.6093540559
         270.0000000000        16587.0942001893
         280.0000000000        21388.8131300720
         290.0000000000        23959.7052168991
         300.0000000000        23449.5128335003
         310.0000000000        19938.4397493572
         320.0000000000        14379.4242657484
         330.0000000000         8365.7614737509
         340.0000000000         3447.4572225535
         350.0000000000          577.4891958145
         360.0000000000           24.0627061874
