             angle (deg)             energy (J/mol)
           0.0000000000           19.0795074730
          10.0000000000          810.4944317620
          20.0000000000         2944.1436487185
          30.0000000000         5934.2676764273
          40.0000000000         9086.0883639254
          50.0000000000        11496.1607078951
          60.0000000000        12372.5525605233
          70.0000000000        11411.3229309201
          80.0000000000         8931.5199362350
          90.0000000000         5732.1750757395
         100.0000000000         2756.9035008111
         110.0000000000          681.7162892528
         120.0000000000            7.2253756111
         130.0000000000          784.5623697446
         140.0000000000         2894.0071033791
         150.0000000000         5821.2661624266
         160.0000000000         8919.9152267590
         170.0000000000        11368.5325342512
         180.0000000000        12375.8134313373
         190.0000000000        11582.2613502293
         200.0000000000         9251.4659743917
         210.0000000000         6109.5723019425
         220.0000000000         3050.6286718860
         230.0000000000          859.1764501902
         240.0000000000           26.1289746630
         250.0000000000          760.7385839055
         260.0000000000         2849.1373108741
         270.0000000000         5870.2422368632
         280.0000000000         9045.2487136168
         290.0000000000        11475.2013424053
         300.0000000000        12379.8645776089
         310.0000000000        11422.1662452809
         320.0000000000         8956.5383244127
         330.0000000000         5775.9841664751
         340.0000000000         2788.1994591751
         350.0000000000          719.4709771685
         360.0000000000            0.0000000000
