             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000           82.4196915826
          20.0000000000          395.7127131633
          30.0000000000         1013.8735272816
          40.0000000000         1800.1004638690
          50.0000000000         2469.7893382362
          60.0000000000         2712.1229751781
          70.0000000000         2389.1261061389
          80.0000000000         1678.3875414569
          90.0000000000          906.0442481500
         100.0000000000          345.3608768736
         110.0000000000           52.3865986524
         120.0000000000            7.2988895759
         130.0000000000          127.7279426282
         140.0000000000          496.1407082627
         150.0000000000         1113.8210559138
         160.0000000000         1847.4356008610
         170.0000000000         2460.1721322522
         180.0000000000         2727.2432288729
         190.0000000000         2521.0627250058
         200.0000000000         1921.3880553247
         210.0000000000         1148.0181916095
         220.0000000000          473.4511384563
         230.0000000000          108.9109851254
         240.0000000000           18.7014354621
         250.0000000000          139.8104929500
         260.0000000000          556.3696749600
         270.0000000000         1255.7450762848
         280.0000000000         2027.4713771579
         290.0000000000         2585.4347305426
         300.0000000000         2708.9382438756
         310.0000000000         2373.4387445024
         320.0000000000         1714.3595150172
         330.0000000000          976.4496523568
         340.0000000000          392.3441968741
         350.0000000000           82.3435520711
         360.0000000000            6.0097691973
