             angle (deg)             energy (J/mol)
           0.0000000000           28.1427330997
          10.0000000000          322.5111517025
          20.0000000000         1008.2024476407
          30.0000000000         1854.3249125370
          40.0000000000         2641.3841325084
          50.0000000000         3190.0479654647
          60.0000000000         3405.0422724233
          70.0000000000         3264.4782609236
          80.0000000000         2842.5525571696
          90.0000000000         2254.1544094457
         100.0000000000         1654.9680827227
         110.0000000000         1211.4135112301
         120.0000000000         1070.4924317947
         130.0000000000         1403.8153918944
         140.0000000000         2362.6111830487
         150.0000000000         4095.3754521221
         160.0000000000         6706.6582287542
         170.0000000000        10190.8173138703
         180.0000000000        14383.5856831910
         190.0000000000        18846.9433188979
         200.0000000000        22009.9538866549
         210.0000000000        25720.2761550624
         220.0000000000        29130.6009330036
         230.0000000000        31830.8251429211
         240.0000000000        33433.0206784151
         250.0000000000        33656.3325688670
         260.0000000000        32417.2095322082
         270.0000000000        29836.0307370737
         280.0000000000        25479.1266185707
         290.0000000000        20454.6025195735
         300.0000000000        15369.6026568905
         310.0000000000        10659.0673370406
         320.0000000000         6652.6333182039
         330.0000000000         3572.6699363518
         340.0000000000         1483.5649500774
         350.0000000000          323.5193435823
         360.0000000000            0.0000000000
