             angle (deg)             energy (J/mol)
           0.0000000000          122.0936198204
          10.0000000000         1403.9151607294
          20.0000000000         5680.1823020798
          30.0000000000        11256.1926462322
          40.0000000000        15837.3879665754
          50.0000000000        18268.5640784925
          60.0000000000        19560.7957262404
          70.0000000000        20439.9732343089
          80.0000000000        20840.0390262431
          90.0000000000        20907.5747590071
         100.0000000000        20944.4052710454
         110.0000000000        21182.3464467620
         120.0000000000        22059.3631684640
         130.0000000000        23863.5751650596
         140.0000000000        26542.8058780517
         150.0000000000        29127.3059306046
         160.0000000000        29985.6711012621
         170.0000000000        25005.7726234773
         180.0000000000        23818.2747905050
         190.0000000000        22046.2120396581
         200.0000000000        19964.4768314523
         210.0000000000        16958.0458242011
         220.0000000000        12583.3145616958
         230.0000000000         7492.7066312245
         240.0000000000         3025.5971561987
         250.0000000000          586.5839272556
         260.0000000000          976.7384572718
         270.0000000000         3742.0068005216
         280.0000000000         7523.7715455072
         290.0000000000         9981.1370185424
         300.0000000000        11684.6453425586
         310.0000000000        12353.4835550879
         320.0000000000        11838.6020288340
         330.0000000000        10082.2896516253
         340.0000000000         6543.8956159529
         350.0000000000         2805.7981845681
         360.0000000000            0.0000000000
