             angle (deg)             energy (J/mol)
           0.0000000000           57.1755103426
          10.0000000000          370.3477590130
          20.0000000000         1231.5432185841
          30.0000000000         2405.0838941619
          40.0000000000         3674.6233467806
          50.0000000000         4897.8778622136
          60.0000000000         6068.7037711423
          70.0000000000         7236.7807815385
          80.0000000000         8367.9380130990
          90.0000000000         8647.4697319033
         100.0000000000         7930.8054141011
         110.0000000000         6990.5036438749
         120.0000000000         5989.3349102931
         130.0000000000         4968.1887483804
         140.0000000000         3902.0493954312
         150.0000000000         2798.4494104255
         160.0000000000         1730.1912791112
         170.0000000000          811.1166752146
         180.0000000000          187.7573712824
         190.0000000000            0.0000000000
         200.0000000000          356.8658171415
         210.0000000000         1306.4749844362
         220.0000000000         2774.1399073243
         230.0000000000         4515.5158158994
         240.0000000000         6113.1771131825
         250.0000000000         7374.8505681343
         260.0000000000         8236.1799281253
         270.0000000000         8656.3780530348
         280.0000000000         8630.8870748063
         290.0000000000         8180.1543866480
         300.0000000000         7340.0810734781
         310.0000000000         6132.8447326724
         320.0000000000         4597.4760448662
         330.0000000000         2924.5547941376
         340.0000000000         1421.2119538469
         350.0000000000          396.1406695171
         360.0000000000           40.3801877674
