             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          496.9729917214
          20.0000000000         2059.2740569339
          30.0000000000         4380.7069001923
          40.0000000000         7009.2339599031
          50.0000000000         9432.4233011685
          60.0000000000        11107.4055693539
          70.0000000000         7542.8064195815
          80.0000000000         4908.1619452729
          90.0000000000         2490.0686992158
         100.0000000000          755.7317557184
         110.0000000000           38.4898279369
         120.0000000000          447.9417818485
         130.0000000000         1899.5333945237
         140.0000000000         4114.9931870453
         150.0000000000         6665.0755619335
         160.0000000000         9146.4276015699
         170.0000000000        11077.6376519406
         180.0000000000        12132.2930685478
         190.0000000000        12307.2038690703
         200.0000000000        11734.4642024915
         210.0000000000        10699.7363297977
         220.0000000000         9534.8860586306
         230.0000000000         8507.4990835886
         240.0000000000         7813.9995509665
         250.0000000000         7570.4870645933
         260.0000000000         7794.1717760373
         270.0000000000         8373.1365028383
         280.0000000000         9063.0023435796
         290.0000000000         9568.9414173409
         300.0000000000         9686.8499904699
         310.0000000000         9356.8220327692
         320.0000000000         8680.2858547271
         330.0000000000         7943.8016384865
         340.0000000000         7510.6492973420
         350.0000000000         7601.5729829513
         360.0000000000           44.0480111585
