             angle (deg)             energy (J/mol)
           0.0000000000           29.9123197962
          10.0000000000         3005.1733928362
          20.0000000000         9711.9681474825
          30.0000000000        16087.5902266562
          40.0000000000        22725.9093195300
          50.0000000000        29310.6052032623
          60.0000000000        34606.0493815621
          70.0000000000        37615.2266617245
          80.0000000000        37768.6424949283
          90.0000000000        35334.3079068027
         100.0000000000        31103.4855424644
         110.0000000000        26328.7908826306
         120.0000000000        22220.2590507583
         130.0000000000        19422.4371347296
         140.0000000000        18268.0993650071
         150.0000000000        18972.7651484899
         160.0000000000        21395.5291587244
         170.0000000000        25000.1251733090
         180.0000000000        28714.2124083960
         190.0000000000        31271.6566849365
         200.0000000000        31606.7151004462
         210.0000000000        29456.9138082932
         220.0000000000        25474.4794837167
         230.0000000000        20975.1918824508
         240.0000000000        17288.8981887949
         250.0000000000        15269.8362876982
         260.0000000000        15347.9974185500
         270.0000000000        17387.6694934679
         280.0000000000        20661.0166928447
         290.0000000000        24082.7072597643
         300.0000000000        26201.1101989478
         310.0000000000        25899.4638946951
         320.0000000000        22575.3762851293
         330.0000000000        16514.6671609803
         340.0000000000         9064.9688429963
         350.0000000000         2570.0493013308
         360.0000000000            0.0000000000
