             angle (deg)             energy (J/mol)
           0.0000000000           12.6365307539
          10.0000000000          753.5972242969
          20.0000000000         2817.3398819677
          30.0000000000         5707.7631780327
          40.0000000000         8771.5193493267
          50.0000000000        11226.1595533766
          60.0000000000        12350.2226842738
          70.0000000000        11729.9404661691
          80.0000000000         9458.9513516191
          90.0000000000         6274.7845060252
         100.0000000000         3211.3854026669
         110.0000000000          985.9539617723
         120.0000000000           42.2626712563
         130.0000000000          519.5995494514
         140.0000000000         2395.1700067719
         150.0000000000         5252.4332395871
         160.0000000000         8492.1871683416
         170.0000000000        11147.6676096086
         180.0000000000        12376.9739022402
         190.0000000000        11694.2100385785
         200.0000000000         9346.9816591947
         210.0000000000         6125.1493924825
         220.0000000000         3033.6233093049
         230.0000000000          835.8121268923
         240.0000000000            0.0000000000
         250.0000000000          652.0402643328
         260.0000000000         2650.5655054239
         270.0000000000         5552.6223914565
         280.0000000000         8698.0106042730
         290.0000000000        11243.6375058594
         300.0000000000        12367.9736886899
         310.0000000000        11602.9634164692
         320.0000000000         9107.6279647174
         330.0000000000         5832.0805962959
         340.0000000000         2800.3135154605
         350.0000000000          726.2710218233
         360.0000000000           22.3613822130
