             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          701.7147216590
          20.0000000000         2628.7869841344
          30.0000000000         5373.7155801733
          40.0000000000         8261.4109817811
          50.0000000000        10495.8163813558
          60.0000000000        11357.8861322375
          70.0000000000        10540.1006874651
          80.0000000000         8349.4361156054
          90.0000000000         5445.6831566919
         100.0000000000         2658.6546706065
         110.0000000000          708.1471963405
         120.0000000000           28.4420400523
         130.0000000000          782.2099218261
         140.0000000000         2775.2662467914
         150.0000000000         5541.7291925289
         160.0000000000         8414.0522926585
         170.0000000000        10591.0721415861
         180.0000000000        11374.0303308685
         190.0000000000        10499.9777984999
         200.0000000000         8221.3931130427
         210.0000000000         5303.1894029071
         220.0000000000         2580.0550812887
         230.0000000000          700.4098482986
         240.0000000000           34.8377576768
         250.0000000000          732.2650380388
         260.0000000000         2613.1180010264
         270.0000000000         5342.8895862389
         280.0000000000         8243.0298573468
         290.0000000000        10488.8850616039
         300.0000000000        11364.5601528886
         310.0000000000        10508.7049601169
         320.0000000000         8244.2008302873
         330.0000000000         5318.1993856547
         340.0000000000         2585.8784400273
         350.0000000000          687.4897634247
         360.0000000000           34.4386815907
