             angle (deg)             energy (J/mol)
           0.0000000000           27.6858960306
          10.0000000000          586.7545848817
          20.0000000000         2082.0056346669
          30.0000000000         4232.0589746780
          40.0000000000         6526.5646913996
          50.0000000000         8356.5879771024
          60.0000000000         9145.0124571877
          70.0000000000         8560.8544916662
          80.0000000000         6762.7625351406
          90.0000000000         4393.7661365049
         100.0000000000         2113.6350314193
         110.0000000000          548.2148724528
         120.0000000000            0.0000000000
         130.0000000000          569.6153217314
         140.0000000000         2110.1116107096
         150.0000000000         4305.3786836515
         160.0000000000         6655.2325628870
         170.0000000000         8476.2792647361
         180.0000000000         9153.4560646846
         190.0000000000         8429.1961756767
         200.0000000000         6566.0128267242
         210.0000000000         4182.3083779149
         220.0000000000         1986.8890258007
         230.0000000000          500.0737069469
         240.0000000000            6.7895426172
         250.0000000000          556.9787909775
         260.0000000000         2069.0881754143
         270.0000000000         4198.4578274901
         280.0000000000         6521.7495246901
         290.0000000000         8381.6877558103
         300.0000000000         9136.9364195149
         310.0000000000         8498.3649695438
         320.0000000000         6694.0295744166
         330.0000000000         4315.2190572260
         340.0000000000         2095.3064168746
         350.0000000000          554.3742950518
         360.0000000000           37.8045724824
