             angle (deg)             energy (J/mol)
           0.0000000000            1.2392359611
          10.0000000000         1653.0173363625
          20.0000000000         6418.1683042517
          30.0000000000        13753.1349040676
          40.0000000000        22865.9403544490
          50.0000000000        32805.0825027987
          60.0000000000        42530.4013171303
          70.0000000000        50973.2789726469
          80.0000000000        57139.3756610624
          90.0000000000        60287.5941627180
         100.0000000000        60125.6113234111
         110.0000000000        56917.4552855200
         120.0000000000        51427.4536912085
         130.0000000000        44660.8080417266
         140.0000000000        37628.7532370692
         150.0000000000        31217.7919299001
         160.0000000000        26127.4307964918
         170.0000000000        22866.1819004933
         180.0000000000        21747.5666817959
         190.0000000000        22870.7213897229
         200.0000000000        26134.2859766576
         210.0000000000        31226.7553864680
         220.0000000000        37643.3195102574
         230.0000000000        44675.9466738753
         240.0000000000        51440.1217280005
         250.0000000000        56920.7634153541
         260.0000000000        60121.8516076013
         270.0000000000        60281.9572145127
         280.0000000000        57132.7567759222
         290.0000000000        50970.9344012939
         300.0000000000        42534.7438939382
         310.0000000000        32812.6938269116
         320.0000000000        22873.2602481002
         330.0000000000        13760.4337937181
         340.0000000000         6422.6421560074
         350.0000000000         1655.6087047039
         360.0000000000            0.0000000000
