             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1105.4719663077
          20.0000000000         4244.0548835253
          30.0000000000         8623.3912727341
          40.0000000000        13089.0094637916
          50.0000000000        12509.6535376192
          60.0000000000        15282.0264835698
          70.0000000000        17904.0843115421
          80.0000000000        20221.3557375071
          90.0000000000        22136.0330153475
         100.0000000000        23575.9779106201
         110.0000000000        24535.0835109140
         120.0000000000        25059.8264145191
         130.0000000000        25230.3552558539
         140.0000000000        25203.2495952747
         150.0000000000        25160.3384256956
         160.0000000000        25293.5247824119
         170.0000000000        25802.2757665584
         180.0000000000        26866.5641421315
         190.0000000000        28590.0866515357
         200.0000000000        31003.3148463911
         210.0000000000        34045.3870142863
         220.0000000000        37652.5665207215
         230.0000000000        41626.9248077743
         240.0000000000        45708.0936801160
         250.0000000000        49455.7873134842
         260.0000000000        26212.1819319177
         270.0000000000        26467.2754981450
         280.0000000000        25793.5013459960
         290.0000000000        24042.5554904568
         300.0000000000        21202.6048035917
         310.0000000000        17448.9145286851
         320.0000000000        13171.8649884427
         330.0000000000         8841.3970279716
         340.0000000000         5097.0509070412
         350.0000000000         2566.5416334537
         360.0000000000         1949.9639957224
