             angle (deg)             energy (J/mol)
           0.0000000000           29.5342477853
          10.0000000000         1988.5325886428
          20.0000000000         7445.3872472889
          30.0000000000        14896.7370048298
          40.0000000000        22027.2690580771
          50.0000000000        26792.0865875779
          60.0000000000        28613.2566878093
          70.0000000000        28248.4986179815
          80.0000000000        26944.3577028607
          90.0000000000        25666.8629857779
         100.0000000000        25070.7511194102
         110.0000000000        25523.6025860829
         120.0000000000        27346.7444366006
         130.0000000000        30620.0312495223
         140.0000000000        34947.8159491587
         150.0000000000        39152.7666377854
         160.0000000000        42136.3689238661
         170.0000000000        43001.5236371407
         180.0000000000        41382.7270659467
         190.0000000000        37995.6904717172
         200.0000000000        34011.9328951773
         210.0000000000         4292.1855468443
         220.0000000000         4579.5753868991
         230.0000000000         7921.6424196394
         240.0000000000         9770.4774118261
         250.0000000000        15107.2600855048
         260.0000000000        19928.1031563338
         270.0000000000        22976.5684163814
         280.0000000000        25516.9810753214
         290.0000000000        26763.1588301142
         300.0000000000        26254.8147986195
         310.0000000000        24146.9926237519
         320.0000000000        21056.7189040450
         330.0000000000        17775.6212289674
         340.0000000000        14735.5181860356
         350.0000000000         1707.7747612380
         360.0000000000            0.0000000000
