             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1021.5846203787
          20.0000000000         3620.2676233140
          30.0000000000         7930.4325931836
          40.0000000000        13977.8750665606
          50.0000000000        21706.8320515649
          60.0000000000        30796.7693981720
          80.0000000000        48868.5155052275
          90.0000000000        54980.1041910788
         100.0000000000        57573.9982821747
         110.0000000000        56820.8185122686
         120.0000000000        53569.1264356498
         130.0000000000        48789.2726685311
         140.0000000000        43330.1364506085
         150.0000000000        37723.9223559743
         160.0000000000        32164.8937448557
         170.0000000000        26682.6006181691
         180.0000000000        21323.6245942822
         190.0000000000        16284.9464255434
         200.0000000000        11874.0357749440
         210.0000000000         8409.4392893894
         220.0000000000         6102.2865398763
         230.0000000000         5035.7664894441
         240.0000000000         5157.1538498095
         250.0000000000         6229.5445179257
         260.0000000000         7906.5195405471
         270.0000000000         9714.1998224908
         280.0000000000        11159.3038250482
         290.0000000000        11800.1305794256
         300.0000000000        11340.5105742109
         310.0000000000         9786.2802956525
         320.0000000000         7406.0546340797
         330.0000000000         4677.2124756887
         340.0000000000         2195.9943366214
         350.0000000000          512.6734809422
         360.0000000000           50.1129157921
