             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          180.2825732854
          20.0000000000          897.3170866823
          30.0000000000         2256.6880168788
          40.0000000000         4331.6756903193
          50.0000000000         7145.1902191526
          60.0000000000        10638.0292066418
          70.0000000000        14618.1950994515
          80.0000000000        18724.4479973701
          90.0000000000        22448.8193154416
         100.0000000000        25239.3187124963
         110.0000000000        26642.1101592306
         120.0000000000        26432.4771231466
         130.0000000000        24680.0321070736
         140.0000000000        21723.9844420757
         150.0000000000        18062.2365466958
         160.0000000000        14250.1157723545
         170.0000000000        10747.5834392205
         180.0000000000         7861.2716760313
         190.0000000000         5721.6993313520
         200.0000000000         4335.1203461200
         210.0000000000         3631.7174281456
         220.0000000000         3488.6014309082
         230.0000000000         3734.3981021047
         240.0000000000         4182.5578004501
         250.0000000000         4645.1209909230
         260.0000000000         4961.6249989003
         270.0000000000         5036.2075733822
         280.0000000000         4849.7419479504
         290.0000000000         4429.2917750337
         300.0000000000         3818.3904681113
         310.0000000000         3078.8344169129
         320.0000000000         2280.9922690358
         330.0000000000         1490.3544926946
         340.0000000000          785.9407572190
         350.0000000000          262.6970138492
         360.0000000000           31.3274643276
