             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1546.8762535463
          20.0000000000         5460.2704339553
          30.0000000000        10807.2111664657
          40.0000000000        16440.5676785869
          50.0000000000        20918.2027824923
          60.0000000000        22862.4720691010
          70.0000000000        21647.0467942031
          80.0000000000        16698.9063626464
          90.0000000000        11698.6156273882
         100.0000000000         7269.9828527895
         110.0000000000         3778.5117506625
         120.0000000000         2440.5438952913
         130.0000000000         3262.2544624808
         140.0000000000         5992.4408766867
         150.0000000000        10090.4943386247
         160.0000000000        14595.2482306190
         170.0000000000        18255.3683161386
         180.0000000000        19951.5856271444
         190.0000000000        19105.3896482833
         200.0000000000        15870.5217748058
         210.0000000000        11145.9689111809
         220.0000000000         6359.8717053862
         230.0000000000         2868.4111052221
         240.0000000000         1752.8860999364
         250.0000000000         3314.6830691344
         260.0000000000         7053.9803539511
         270.0000000000        11834.8816955533
         280.0000000000        16140.2813832801
         290.0000000000        18899.9232803622
         300.0000000000        19525.0915536692
         310.0000000000        17892.8261681880
         320.0000000000        14457.2073245893
         330.0000000000        10121.2336910100
         340.0000000000         5276.2281448601
         350.0000000000         1432.6433802247
         360.0000000000           13.8258822228
