             angle (deg)             energy (J/mol)
           0.0000000000         1482.8429374913
          10.0000000000         1676.8279945426
          20.0000000000         2295.0439441718
          30.0000000000         3203.7399471930
          40.0000000000         4173.2714073077
          50.0000000000         4960.5590458882
          60.0000000000         5342.8974628044
          70.0000000000         4655.3814443603
          80.0000000000         2559.0799629664
          90.0000000000          739.4851625565
         100.0000000000            0.0000000000
         110.0000000000          525.3546451694
         120.0000000000         2038.3461974823
         130.0000000000         4143.1700514314
         140.0000000000         6576.4675671857
         150.0000000000         9098.0527666599
         160.0000000000        11380.7043515196
         170.0000000000        13111.4233561927
         180.0000000000        14084.6095121141
         190.0000000000        14246.2379088828
         200.0000000000        13675.6406502910
         210.0000000000        12600.2332828025
         220.0000000000        11250.9836545300
         230.0000000000         8641.9850627957
         240.0000000000         5062.7645043243
         250.0000000000         2597.1339578347
         260.0000000000         1442.2422076802
         270.0000000000         1374.3677852851
         280.0000000000         1912.6713958200
         290.0000000000         2621.3751980646
         300.0000000000         3178.9762324947
         310.0000000000         3413.1786964021
         320.0000000000         3279.3700960838
         330.0000000000         2830.4568793380
         340.0000000000         2232.8300994547
         350.0000000000         1693.9698831650
         360.0000000000         1462.3430345427
