             angle (deg)             energy (J/mol)
           0.0000000000           29.9123199454
          10.0000000000         1320.8679748245
          20.0000000000         5763.1113406958
          30.0000000000        13079.2504808967
          40.0000000000        22783.3893879186
          50.0000000000        33932.3539944712
          60.0000000000        44673.3631820247
          70.0000000000        50921.6852749987
          80.0000000000        49466.6883889773
          90.0000000000        43214.9610227317
         100.0000000000        35420.0593577667
         110.0000000000        28432.9977442205
         120.0000000000        23573.9956582962
         130.0000000000        21255.8971998168
         140.0000000000        21250.8247341558
         150.0000000000        22969.5320768504
         160.0000000000        25716.7999931489
         170.0000000000        28411.2376013848
         180.0000000000        29996.0628297964
         190.0000000000        29624.2132849267
         200.0000000000        27133.6903742631
         210.0000000000        23247.5882649666
         220.0000000000        19149.7684725073
         230.0000000000        15910.6919227164
         240.0000000000        14193.4916168226
         250.0000000000        14396.4663853866
         260.0000000000        16404.6088325363
         270.0000000000        19604.5549324093
         280.0000000000        23022.4201460452
         290.0000000000        25514.1691651601
         300.0000000000        26094.5962952887
         310.0000000000        24187.6406126576
         320.0000000000        19659.4646364571
         330.0000000000        13234.4122715482
         340.0000000000         6697.4400987816
         350.0000000000         1918.0694236023
         360.0000000000            0.0000000000
