             angle (deg)             energy (J/mol)
           0.0000000000           41.4093837224
          10.0000000000          585.3761974073
          20.0000000000         1995.5164182843
          30.0000000000         3988.7092692908
          40.0000000000         6056.7446192028
          50.0000000000         7641.2390346981
          60.0000000000         8201.5627124922
          70.0000000000         7551.4338119905
          80.0000000000         6106.5949849500
          90.0000000000         4617.4429713088
         100.0000000000         3914.0531808441
         110.0000000000         3542.2902772996
         120.0000000000         5243.5222929835
         130.0000000000         9623.3627782068
         140.0000000000        16207.7173471345
         150.0000000000        23361.2225241591
         160.0000000000        18383.6528647455
         170.0000000000        19518.1339790472
         180.0000000000        19143.9634922226
         190.0000000000        17398.9538917668
         200.0000000000        14464.4563295984
         210.0000000000        11488.2264472077
         220.0000000000         9493.2036227511
         230.0000000000         8878.6843769298
         240.0000000000         9597.8455451081
         250.0000000000        11267.1488570869
         260.0000000000        13542.4963014266
         270.0000000000        16539.4256247344
         280.0000000000        19526.9425310453
         290.0000000000        21349.6065407171
         300.0000000000        21507.4200862397
         310.0000000000        20002.1238738182
         320.0000000000         2702.3561156431
         330.0000000000         1225.3417878346
         340.0000000000          575.6539714202
         350.0000000000          446.8180677788
         360.0000000000            0.0000000000
