             angle (deg)             energy (J/mol)
           0.0000000000           35.1449411204
          10.0000000000          402.7595547319
          20.0000000000         1550.3051563652
          30.0000000000         3305.1472536807
          40.0000000000         5322.2689103801
          50.0000000000         7053.5839034864
          60.0000000000         7841.8377259455
          70.0000000000         7290.6166561580
          80.0000000000         5590.1197804207
          90.0000000000         3422.4755913583
         100.0000000000         1537.7237610476
         110.0000000000          346.2535467874
         120.0000000000           40.3933152771
         130.0000000000          591.4909866077
         140.0000000000         1872.3804749991
         150.0000000000         3658.4502676581
         160.0000000000         5607.6003584503
         170.0000000000         7211.5654809392
         180.0000000000         7886.5289845572
         190.0000000000         7300.5016631312
         200.0000000000         5676.4619687245
         210.0000000000         3652.0571754310
         220.0000000000         1757.5778681891
         230.0000000000          464.1201119152
         240.0000000000           16.2308401055
         250.0000000000          477.5784242393
         260.0000000000         1761.7550384643
         270.0000000000         3611.1676407049
         280.0000000000         5625.1465740284
         290.0000000000         7278.3109383204
         300.0000000000         7911.3557111827
         310.0000000000         7259.0345183511
         320.0000000000         5639.7364767638
         330.0000000000         3643.7343409190
         340.0000000000         1792.7726938016
         350.0000000000          506.2331296952
         360.0000000000            0.0000000000
