             angle (deg)             energy (J/mol)
           0.0000000000           23.2015422372
          10.0000000000          678.5000519121
          20.0000000000         2535.2456752389
          30.0000000000         4833.9469408388
          40.0000000000         7582.8164119782
          50.0000000000        10353.1729740200
          60.0000000000        12930.1483440093
          70.0000000000        15061.7811770570
          80.0000000000        16718.0751372153
          90.0000000000        18037.5883539635
         100.0000000000        19099.1278311534
         110.0000000000        19978.2160722752
         120.0000000000        20616.3149323446
         130.0000000000        21024.9030968339
         140.0000000000        21228.3872123566
         150.0000000000        21232.3044582082
         160.0000000000        21139.2619942338
         170.0000000000        21084.2446446362
         180.0000000000        21070.4791489431
         190.0000000000        21111.2242812118
         200.0000000000        21205.0859011351
         210.0000000000        21282.5959078935
         220.0000000000        21266.2889283511
         230.0000000000        21109.3733038357
         240.0000000000        20698.6506079994
         250.0000000000        19988.0118122271
         260.0000000000        19038.0613299786
         270.0000000000        17852.8030484309
         280.0000000000        16399.8382993001
         290.0000000000        14579.0488965517
         300.0000000000        12309.4329185319
         310.0000000000         9685.0331445295
         320.0000000000         6832.3697874736
         330.0000000000         4111.1678337616
         340.0000000000         1963.5824636351
         350.0000000000          416.5145486113
         360.0000000000            0.0000000000
