             angle (deg)             energy (J/mol)
           0.0000000000           38.5003299745
          10.0000000000          716.2311103551
          20.0000000000         2501.7836795644
          30.0000000000         4862.4624947067
          40.0000000000         7235.6754461466
          50.0000000000         8986.4401422459
          60.0000000000         9645.8711886479
          70.0000000000         9051.8702242291
          80.0000000000         7335.9196562594
          90.0000000000         4935.0969483005
         100.0000000000         2507.6096637751
         110.0000000000          725.3625988531
         120.0000000000           45.4894105601
         130.0000000000          615.9107608054
         140.0000000000         2269.7498785889
         150.0000000000         4617.2880669629
         160.0000000000         7062.5289815257
         170.0000000000         8920.1541473312
         180.0000000000         9638.5276655241
         190.0000000000         8992.0219549402
         200.0000000000         7155.0804769953
         210.0000000000         4710.1047379494
         220.0000000000         2315.2445400932
         230.0000000000          596.4059223761
         240.0000000000            0.0000000000
         250.0000000000          682.9003897030
         260.0000000000         2426.4869691365
         270.0000000000         4798.7048561317
         280.0000000000         7185.5257733721
         290.0000000000         8978.3325986840
         300.0000000000         9657.3393720080
         310.0000000000         9000.4944430032
         320.0000000000         7247.8446380176
         330.0000000000         4827.3228046052
         340.0000000000         2394.3639783326
         350.0000000000          644.5182072412
         360.0000000000           42.2206632551
