             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          814.6033390912
          20.0000000000         2993.0803405514
          30.0000000000         6057.3143527658
          40.0000000000         9185.9177449703
          50.0000000000        11535.9344051918
          60.0000000000        12382.3299220213
          70.0000000000        11453.0447491795
          80.0000000000         9044.9231515701
          90.0000000000         5907.9470402868
         100.0000000000         2886.9235047534
         110.0000000000          759.9299299942
         120.0000000000           26.6330706028
         130.0000000000          828.0590258686
         140.0000000000         3007.0296213057
         150.0000000000         6080.4397554915
         160.0000000000         9219.9494741332
         170.0000000000        11573.2270051688
         180.0000000000        12419.7537970207
         190.0000000000        11479.9482462435
         200.0000000000         9059.0483408202
         210.0000000000         5864.2771011392
         220.0000000000         2810.2589088888
         230.0000000000          696.6737619616
         240.0000000000           13.8416352792
         250.0000000000          930.6005483143
         260.0000000000         3231.3864606945
         270.0000000000         6331.0463424534
         280.0000000000         9463.6851280222
         290.0000000000        11705.2056320369
         300.0000000000        12400.2935920648
         310.0000000000        11370.8718545853
         320.0000000000         8951.9568271072
         330.0000000000         5820.7883215061
         340.0000000000         2845.8423084751
         350.0000000000          760.7123289607
         360.0000000000           18.3181125070
