             angle (deg)             energy (J/mol)
           0.0000000000            3.6704487885
          10.0000000000          477.5259142005
          20.0000000000         1833.7541210210
          30.0000000000         3892.2641575169
          40.0000000000         6397.5712578656
          50.0000000000         8978.9732205905
          60.0000000000        11257.9753606623
          70.0000000000        12929.1716580185
          80.0000000000        13750.2284757171
          90.0000000000        13629.1430477019
         100.0000000000        12646.5392237648
         110.0000000000        11043.2724842400
         120.0000000000         9150.9487123456
         130.0000000000         7275.5174064639
         140.0000000000         5687.3131596508
         150.0000000000         4553.2652528709
         160.0000000000         3903.5669344189
         170.0000000000         3629.2442071677
         180.0000000000         3568.0621840269
         190.0000000000         3629.8874546955
         200.0000000000         3905.1973698259
         210.0000000000         4560.5483894650
         220.0000000000         5697.1692861325
         230.0000000000         7289.4876912188
         240.0000000000         9172.8217516006
         250.0000000000        11065.1455235696
         260.0000000000        12638.1560027230
         270.0000000000        13595.1979600881
         280.0000000000        13708.5224104395
         290.0000000000        12876.8428203491
         300.0000000000        11194.6010450423
         310.0000000000         8908.1766169378
         320.0000000000         6337.1716336168
         330.0000000000         3839.5808773840
         340.0000000000         1780.2490594670
         350.0000000000          450.0395562130
         360.0000000000            0.0000000000
