             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          109.3074356275
          20.0000000000          539.6216114049
          30.0000000000         1137.8417541374
          40.0000000000         1720.8733801544
          50.0000000000         2011.4269475111
          60.0000000000         1539.4670929486
          70.0000000000          925.3653015927
          80.0000000000          356.3039602933
          90.0000000000           25.7797831063
         100.0000000000           78.8962707610
         110.0000000000          493.7383758894
         120.0000000000           22.5477927837
         130.0000000000          145.0956241638
         140.0000000000          594.9960289008
         150.0000000000         1209.5546572512
         160.0000000000         1780.1834219558
         170.0000000000         1970.1829702095
         180.0000000000         1478.4872332483
         190.0000000000          870.0223900604
         200.0000000000          334.6147059503
         210.0000000000           32.1544967675
         220.0000000000           78.8752667604
         230.0000000000          439.9182542890
         240.0000000000           21.6840033241
         250.0000000000           99.0522331717
         260.0000000000          532.3516022832
         270.0000000000         1151.9669433501
         280.0000000000         1742.1714350141
         290.0000000000         1969.8127747268
         300.0000000000         1490.2442215981
         310.0000000000          851.5362455858
         320.0000000000          296.0907465405
         330.0000000000           11.6178368738
         340.0000000000          121.9938509108
         350.0000000000          534.8510781686
         360.0000000000            9.0133410226
