             angle (deg)             energy (J/mol)
           0.0000000000          335.3813518605
          10.0000000000          722.5900709971
          20.0000000000         1613.6138343620
          30.0000000000         2979.0444181733
          40.0000000000         4488.4337848675
          50.0000000000         5639.4686757748
          60.0000000000         6409.5829196201
          70.0000000000         6760.6069997184
          80.0000000000         6838.0671220593
          90.0000000000         6863.8757856944
         100.0000000000         6626.5095944851
         110.0000000000         4646.8564461839
         120.0000000000         2511.0937019556
         130.0000000000          836.8255697162
         140.0000000000            0.0000000000
         150.0000000000            7.7898580807
         160.0000000000          618.9143325188
         170.0000000000         1451.4839672001
         180.0000000000         2223.9244039445
         190.0000000000         2382.4547109598
         200.0000000000         2383.6781937898
         210.0000000000         2591.0900572017
         220.0000000000         3122.1131564653
         230.0000000000         4059.7657974417
         240.0000000000         5259.5982287431
         250.0000000000         4956.3766245197
         260.0000000000         5205.2845131285
         270.0000000000         5440.1223479982
         280.0000000000         5552.3152079383
         290.0000000000         5307.4794696762
         300.0000000000         4363.2552025049
         310.0000000000         3334.5134695358
         320.0000000000         2346.3645898122
         330.0000000000         1476.4025862443
         340.0000000000          801.8670391292
         350.0000000000          380.0962398703
         360.0000000000          326.3260027993
