             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000           47.9731333518
          20.0000000000          250.7299854934
          30.0000000000         2341.3787656257
          40.0000000000         6444.7226097217
          50.0000000000        11455.5179699336
          60.0000000000        15917.9960632365
          70.0000000000        18408.3194359316
          80.0000000000        18144.2020266067
          90.0000000000        15246.7765224464
         100.0000000000        10942.3587715800
         110.0000000000         6513.3873075742
         120.0000000000         3182.5416612056
         130.0000000000         1759.8016664826
         140.0000000000         2535.4268346042
         150.0000000000         5005.2240494806
         160.0000000000         8537.9443798161
         170.0000000000        12270.3759825787
         180.0000000000        15149.8824501689
         190.0000000000        16349.4890884825
         200.0000000000        15531.4069620803
         210.0000000000        12948.7893928670
         220.0000000000         9289.9479258376
         230.0000000000         5442.8659952880
         240.0000000000         2429.9841349014
         250.0000000000         1188.3589967732
         260.0000000000         2126.9095587568
         270.0000000000         5118.3227068442
         280.0000000000         9413.1048731980
         290.0000000000        13859.3915087752
         300.0000000000        17377.2646375731
         310.0000000000        18949.8025267502
         320.0000000000        18083.6737528822
         330.0000000000        15107.7484283883
         340.0000000000        10803.4750801287
