             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          893.6125063088
          20.0000000000         5621.8988307240
          30.0000000000        13742.3204701983
          40.0000000000        24262.7010281347
          50.0000000000        35722.3830408337
          60.0000000000        46930.1168363028
          70.0000000000        56902.0567287986
          80.0000000000        64068.5213732262
          90.0000000000        67043.9557292152
         100.0000000000        65756.2898256417
         110.0000000000        61235.1475635001
         120.0000000000        54524.6035950071
         130.0000000000        46481.0539660060
         140.0000000000        37946.8955569444
         150.0000000000        29791.9039607823
         160.0000000000        22811.1330449322
         170.0000000000        17666.5185823644
         180.0000000000        14870.8285722105
         190.0000000000        14760.3029046598
         200.0000000000        17431.3866916355
         210.0000000000        22718.0853298643
         220.0000000000        30229.5012732657
         230.0000000000        39318.8242528365
         240.0000000000        49163.9052432198
         250.0000000000        58771.6200423938
         260.0000000000        67076.0314609991
         270.0000000000        72939.4894061893
         280.0000000000        75046.0040819259
         290.0000000000        72285.6559254634
         300.0000000000        64983.9465322602
         310.0000000000        54783.5907775386
         320.0000000000        30515.0690162867
         330.0000000000        19280.5866283234
         340.0000000000         9689.2969562792
         350.0000000000         3024.3132867643
         360.0000000000            0.1890359308
