             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          506.9997756426
          20.0000000000         1927.9124224996
          30.0000000000         4021.6697945348
          40.0000000000         6309.6301401183
          50.0000000000         8111.9859083937
          60.0000000000         8719.3821731348
          70.0000000000         7842.4074594339
          80.0000000000         5882.1777591808
          90.0000000000         3579.0288969192
         100.0000000000         1594.8703909733
         110.0000000000          339.8289486714
         120.0000000000           22.2012268110
         130.0000000000          661.6889763178
         140.0000000000         2155.3489732251
         150.0000000000         4235.9814714738
         160.0000000000         6445.3763592872
         170.0000000000         8136.6157225601
         180.0000000000         8713.3120174451
         190.0000000000         7922.4431970972
         200.0000000000         6083.4932118090
         210.0000000000         3833.6026141875
         220.0000000000         1793.1848972482
         230.0000000000          425.4675030296
         240.0000000000            9.4938074898
         250.0000000000          619.8726400557
         260.0000000000         2136.2747167709
         270.0000000000         4264.9774919208
         280.0000000000         6502.2656902241
         290.0000000000         8183.3942535361
         300.0000000000         8706.3806978051
         310.0000000000         7892.6490247018
         320.0000000000         6045.3473243727
         330.0000000000         3812.9241773084
         340.0000000000         1812.5925922026
         350.0000000000          463.3403384953
         360.0000000000            2.5519858496
