             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          325.3125599753
          20.0000000000         1727.0958148299
          30.0000000000         4086.2150830579
          40.0000000000         7089.9392000763
          50.0000000000        10183.9201256288
          60.0000000000        12662.4707569177
          70.0000000000        11065.2662966291
          80.0000000000         8075.9955563795
          90.0000000000         5001.6586206950
         100.0000000000         2406.8981147048
         110.0000000000          682.3516602151
         120.0000000000            8.9450780393
         130.0000000000          365.5142137749
         140.0000000000         1568.2583244457
         150.0000000000         3331.3182363449
         160.0000000000         5284.3330629499
         170.0000000000         7013.5502816916
         180.0000000000         8206.9161068012
         190.0000000000         8720.5794010947
         200.0000000000         8579.0334527346
         210.0000000000         8009.4365094570
         220.0000000000         7316.6301088550
         230.0000000000         6764.3798431125
         240.0000000000         6517.8795379331
         250.0000000000         6643.0764986749
         260.0000000000         7110.9799559472
         270.0000000000         7781.7032772136
         280.0000000000         8418.8202003480
         290.0000000000         8723.3781839700
         300.0000000000         8437.6187793223
         310.0000000000         7451.9746265402
         320.0000000000         5859.7218589278
         330.0000000000         3941.4633993947
         340.0000000000         2090.9953462542
         350.0000000000          683.6827886695
         360.0000000000           33.9897211617
