             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          502.0480828545
          20.0000000000         1960.0170347749
          30.0000000000         4147.3498471787
          40.0000000000         6621.5132682610
          50.0000000000         8627.3846580226
          60.0000000000         9446.6482594028
          70.0000000000         8693.1744334882
          80.0000000000         6735.0398822022
          90.0000000000         4279.5490160905
         100.0000000000         2046.7504225994
         110.0000000000          525.4281591342
         120.0000000000            5.2693781574
         130.0000000000          552.0586041903
         140.0000000000         2084.0719029932
         150.0000000000         4347.2790360280
         160.0000000000         6806.1200397512
         170.0000000000         8744.5187086759
         180.0000000000         9458.9303476931
         190.0000000000         8651.4001052646
         200.0000000000         6700.1968735812
         210.0000000000         4283.2509708426
         220.0000000000         2084.4158435684
         230.0000000000          581.2987961164
         240.0000000000           24.6061845818
         250.0000000000          465.5273798064
         260.0000000000         1879.5113325702
         270.0000000000         4059.8813194077
         280.0000000000         6554.6785438586
         290.0000000000         8625.5966927230
         300.0000000000         9462.2516049623
         310.0000000000         8739.4383664494
         320.0000000000         6743.4309796603
         330.0000000000         4272.3735250461
         340.0000000000         2041.1922393777
         350.0000000000          561.6259256823
         360.0000000000           24.7847186243
