             angle (deg)             energy (J/mol)
           0.0000000000           49.3436444099
          10.0000000000          674.3937701296
          20.0000000000         2543.9150757237
          30.0000000000         5215.5134606022
          40.0000000000         8077.4973422362
          50.0000000000        10418.6266854760
          60.0000000000        11433.2169741757
          70.0000000000        10743.5427949866
          80.0000000000         8527.5158945232
          90.0000000000         5535.2573354675
         100.0000000000         2678.9839159289
         110.0000000000          706.8239443770
         120.0000000000           39.9916138682
         130.0000000000          701.6097017306
         140.0000000000         2530.3622455087
         150.0000000000         5207.8496265251
         160.0000000000         8083.6777689105
         170.0000000000        10410.7213054293
         180.0000000000        11426.3775471410
         190.0000000000        10724.4291559286
         200.0000000000         8499.1972530024
         210.0000000000         5481.9675647145
         220.0000000000         2575.5234685500
         230.0000000000          604.0828839629
         240.0000000000            0.0000000000
         250.0000000000          816.7693764763
         260.0000000000         2827.9311484705
         270.0000000000         5569.4570965607
         280.0000000000         8411.0539717400
         290.0000000000        10570.3753262904
         300.0000000000        11438.8250419640
         310.0000000000        10721.5253530502
         320.0000000000         8626.2950756125
         330.0000000000         5754.9486615484
         340.0000000000         2903.6505643079
         350.0000000000          822.5192211009
         360.0000000000           22.8733547931
