             angle (deg)             energy (J/mol)
           0.0000000000           13.9597827173
          10.0000000000          945.2665904867
          20.0000000000         3092.4948926776
          30.0000000000         6030.6471506527
          40.0000000000         8912.2487672099
          50.0000000000        10764.6859453138
          60.0000000000        10930.5203928491
          70.0000000000         9395.4378846351
          80.0000000000         6814.3404798816
          90.0000000000         4014.8697499173
         100.0000000000         1666.6095491065
         110.0000000000          248.1176131514
         120.0000000000           21.3426882956
         130.0000000000         1041.9217422667
         140.0000000000         3171.5093109140
         150.0000000000         5957.6267486318
         160.0000000000         8721.5009515746
         170.0000000000        10581.9038961802
         180.0000000000        10899.5552475506
         190.0000000000         9575.1901068865
         200.0000000000         7081.9996885193
         210.0000000000         4229.0580284367
         220.0000000000         1768.1822620523
         230.0000000000          261.9277423178
         240.0000000000           30.7944878216
         250.0000000000         1187.5529684832
         260.0000000000         3508.0406317890
         270.0000000000         6421.3189040439
         280.0000000000         9101.6575780492
         290.0000000000        10752.8606939434
         300.0000000000        10861.4802486070
         310.0000000000         9477.1985757827
         320.0000000000         7095.3844867294
         330.0000000000         4362.1078591118
         340.0000000000         1960.4423657312
         350.0000000000          394.6100031689
         360.0000000000            0.0000000000
