             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          147.3588050611
          20.0000000000          872.8658064463
          30.0000000000         2289.2022069794
          40.0000000000         4445.3046987168
          50.0000000000         7302.6939555357
          60.0000000000        10705.6778360490
          70.0000000000        14478.6445309250
          80.0000000000        18399.8075654141
          90.0000000000        22268.9069377508
         100.0000000000        25851.0628049149
         110.0000000000        28831.3779651621
         120.0000000000        30901.5767269125
         130.0000000000        31787.5621562013
         140.0000000000        31306.9486540611
         150.0000000000        29513.2176529465
         160.0000000000        26614.1774662863
         170.0000000000        22917.8753672004
         180.0000000000        18850.8868196197
         190.0000000000        14810.3134259957
         200.0000000000        11114.7648454595
         210.0000000000         7958.5201906231
         220.0000000000         5515.5687120516
         230.0000000000         3850.0513708273
         240.0000000000         2853.7529396153
         250.0000000000         2431.2758809013
         260.0000000000         2377.8837156920
         270.0000000000         2550.5680924488
         280.0000000000         2784.2060738866
         290.0000000000         2931.9350743930
         300.0000000000         2897.4386316701
         310.0000000000         2631.1473086184
         320.0000000000         2144.5896748294
         330.0000000000         1511.4950175497
         340.0000000000          846.4060188671
         350.0000000000          293.4468681975
         360.0000000000            8.7324125612
