             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          466.1863804653
          20.0000000000         1537.7185101034
          30.0000000000         2980.3204113406
          40.0000000000         4617.3720829653
          50.0000000000         6349.7162720265
          60.0000000000         8068.1505627879
          70.0000000000         9649.1399360275
          80.0000000000        10931.2450309073
          90.0000000000        11844.7955830179
         100.0000000000        12387.1345868425
         110.0000000000        12571.8962628278
         120.0000000000        12406.1694608422
         130.0000000000        11946.4811926069
         140.0000000000        11345.6749324399
         150.0000000000        10730.1212397194
         160.0000000000        10260.1436375553
         170.0000000000        10068.7972078655
         180.0000000000        10178.6848789817
         190.0000000000        10750.2745766207
         200.0000000000        11855.2109409503
         210.0000000000        13502.3130261555
         220.0000000000        15612.9733663529
         230.0000000000        18007.6655321297
         240.0000000000        20556.9182490313
         250.0000000000        23025.1349129928
         260.0000000000        25148.5473059101
         270.0000000000        26391.9604093379
         280.0000000000        26195.6780398790
         290.0000000000        24160.4430596598
         300.0000000000        20482.3934355324
         310.0000000000        15709.7729205904
         320.0000000000        10463.1079040817
         330.0000000000         5871.0823968874
         340.0000000000         2429.2489949549
         350.0000000000          532.0496698958
         360.0000000000           48.4352213651
