             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          839.1832687282
          20.0000000000         2248.5830987144
          30.0000000000         4014.0164625327
          40.0000000000         6009.3385937927
          50.0000000000         8091.8299460203
          60.0000000000        10122.7144728661
          70.0000000000        11966.0280390374
          80.0000000000        13495.5024794631
          90.0000000000        14621.8576716745
         100.0000000000        15309.9696785518
         110.0000000000        15548.0552567258
         120.0000000000        15380.6691387670
         130.0000000000        14898.7087552653
         140.0000000000        14240.5799568262
         150.0000000000        13575.5959782213
         160.0000000000        13076.8822801456
         170.0000000000        12893.3362104248
         180.0000000000        13147.4347122820
         190.0000000000        13923.3303068648
         200.0000000000        15257.7511119043
         210.0000000000        17135.7449056360
         220.0000000000        19492.9108019570
         230.0000000000        22201.9173088532
         240.0000000000        25086.3649671566
         250.0000000000        27810.7070187724
         260.0000000000        29891.7648480146
         270.0000000000        30618.2327823343
         280.0000000000        28976.7571433714
         290.0000000000        24778.0498933461
         300.0000000000        19375.4301852564
         310.0000000000        13627.1844248507
         320.0000000000         8264.9475301497
         330.0000000000         3978.1626364106
         340.0000000000         1221.1383626893
         350.0000000000           14.8865842160
         360.0000000000           27.0767800876
