             angle (deg)             energy (J/mol)
           0.0000000000           46.1772914866
          10.0000000000         1182.3387256875
          20.0000000000         3268.3272436054
          30.0000000000         5287.3760171924
          40.0000000000         6493.3993772057
          50.0000000000         6747.0489185593
          60.0000000000         6340.5690303974
          70.0000000000         5859.7848709296
          80.0000000000         5836.4441771790
          90.0000000000         6581.1488334754
         100.0000000000         8191.7170881228
         110.0000000000        10589.2736742488
         120.0000000000        13542.4227874618
         130.0000000000        16717.9307346085
         140.0000000000        19765.5243286683
         150.0000000000        22353.2773756191
         160.0000000000        24298.6651251294
         170.0000000000        25602.3570797466
         180.0000000000        26407.6766513913
         190.0000000000        26943.8877384312
         200.0000000000        27416.2886770064
         210.0000000000        27944.7886708746
         220.0000000000        28525.0661476015
         230.0000000000        28996.2278502157
         240.0000000000        29136.5581921621
         250.0000000000        28718.1060247002
         260.0000000000        27535.7121635018
         270.0000000000        25501.8870767206
         280.0000000000        22708.6545344136
         290.0000000000        19373.9651563075
         300.0000000000        15719.0015524513
         310.0000000000        12002.6511365418
         320.0000000000         8388.5219319008
         330.0000000000         5071.8539848212
         340.0000000000         2275.6126197074
         350.0000000000          434.2576766111
         360.0000000000            0.0000000000
