             angle (deg)             energy (J/mol)
           0.0000000000           18.6357980628
          10.0000000000          626.7383221844
          20.0000000000         2547.4568751857
          30.0000000000         5347.6732471341
          40.0000000000         8396.1831406550
          50.0000000000        10798.3816105417
          60.0000000000        11826.9894430909
          70.0000000000        11099.9307712822
          80.0000000000         8919.8810953234
          90.0000000000         5880.1718773843
         100.0000000000         2931.7066559331
         110.0000000000          856.2490179137
         120.0000000000            6.8341762397
         130.0000000000          587.6315018137
         140.0000000000         2492.5156650251
         150.0000000000         5301.4775770444
         160.0000000000         8349.5595141369
         170.0000000000        10807.0746405737
         180.0000000000        11811.7300378082
         190.0000000000        11057.3425380538
         200.0000000000         8816.4757834554
         210.0000000000         5822.6051673719
         220.0000000000         2952.6765233113
         230.0000000000          855.3957303798
         240.0000000000            5.3638961974
         250.0000000000          531.1569998328
         260.0000000000         2387.4064037106
         270.0000000000         5195.6620562749
         280.0000000000         8307.2994683527
         290.0000000000        10787.3545110450
         300.0000000000        11824.1223971203
         310.0000000000        11027.9264377067
         320.0000000000         8738.6743461606
         330.0000000000         5759.8215893902
         340.0000000000         2860.8181597870
         350.0000000000          806.2778791070
         360.0000000000            0.0000000000
