             angle (deg)             energy (J/mol)
           0.0000000000          192.6775580696
          10.0000000000         1282.0788398604
          20.0000000000         4086.6824220900
          30.0000000000         7703.5421465111
          40.0000000000        11543.0206292895
          50.0000000000        14573.2727969077
          60.0000000000        15769.8233533198
          70.0000000000        14856.1178965648
          80.0000000000        11889.3450646442
          90.0000000000         7908.2891273929
         100.0000000000         3918.5637896568
         110.0000000000         1170.8495383268
         120.0000000000          239.4298340635
         130.0000000000         1256.1205228236
         140.0000000000         4061.3069659767
         150.0000000000         8052.6496116848
         160.0000000000        11896.5546872735
         170.0000000000        14779.0017147991
         180.0000000000        15768.6970138527
         190.0000000000        14524.9793523788
         200.0000000000        11506.8386157232
         210.0000000000         7583.0579579479
         220.0000000000         3825.7077361411
         230.0000000000         1063.4140841132
         240.0000000000            0.0000000000
         250.0000000000          994.9384223408
         260.0000000000         3645.1074774492
         270.0000000000         7360.3289284195
         280.0000000000        11455.7490140149
         290.0000000000        14428.0537741377
         300.0000000000        15733.1503712487
         310.0000000000        14705.6636272224
         320.0000000000        11645.3626137668
         330.0000000000         7582.7297705037
         340.0000000000         3690.2608239250
         350.0000000000         1064.3093796484
         360.0000000000          228.6469061578
