             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          444.4656200096
          20.0000000000         2395.6557243325
          30.0000000000         5574.2328808904
          40.0000000000         9344.9206419619
          50.0000000000        13021.9752015699
          60.0000000000        15884.8648806274
          70.0000000000        17215.5233443104
          80.0000000000        17241.7940959588
          90.0000000000        16782.5154056980
         100.0000000000        16553.5245589650
         110.0000000000        16984.2666912827
         120.0000000000        18362.2707939207
         130.0000000000        20763.6422314421
         140.0000000000        24134.7971770854
         150.0000000000        28216.3730019294
         160.0000000000        32563.7780618119
         170.0000000000        36673.8484365978
         180.0000000000        40006.0908488947
         190.0000000000        39294.7274152134
         200.0000000000        39268.8373611973
         210.0000000000        38341.3979147128
         220.0000000000        36938.9346552734
         230.0000000000        35420.2904016988
         240.0000000000        34053.1689959507
         250.0000000000        32893.6117324883
         260.0000000000        31839.0272044484
         270.0000000000        30649.2136806146
         280.0000000000        29002.7863489009
         290.0000000000        26640.2355524565
         300.0000000000        23455.2810567280
         310.0000000000        18404.3365526807
         320.0000000000        14033.1444640162
         330.0000000000        10025.4633326529
         340.0000000000         6750.8375149352
         350.0000000000         4499.5081433096
         360.0000000000         3588.6067204488
