             angle (deg)             energy (J/mol)
           0.0000000000           75.7141648933
          10.0000000000          747.2461401457
          20.0000000000         2391.5967014955
          30.0000000000         4644.2046914620
          40.0000000000         7034.0239295462
          50.0000000000         8818.5368006882
          60.0000000000         9361.4009044533
          70.0000000000         8442.9721735567
          80.0000000000         6422.8731999394
          90.0000000000         3923.9985743469
         100.0000000000         1724.7144864199
         110.0000000000          342.4885800334
         120.0000000000           17.7877614731
         130.0000000000          818.3341744094
         140.0000000000         2514.1314054032
         150.0000000000         4712.5989627041
         160.0000000000         6995.6102411208
         170.0000000000         8735.7364116972
         180.0000000000         9387.1885640132
         190.0000000000         8688.4800398381
         200.0000000000         6842.2285393527
         210.0000000000         4426.2225657718
         220.0000000000         2123.3861378979
         230.0000000000          521.8469772922
         240.0000000000            0.0000000000
         250.0000000000          723.5405018939
         260.0000000000         2416.9800341743
         270.0000000000         4684.7135287051
         280.0000000000         6995.7730220322
         290.0000000000         8745.7553191649
         300.0000000000         9360.2981945335
         310.0000000000         8580.7820355797
         320.0000000000         6637.8963873896
         330.0000000000         4203.3727631839
         340.0000000000         1995.4087728838
         350.0000000000          523.7872217642
         360.0000000000           38.0828755091
