             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          214.4088204138
          20.0000000000          767.7985529839
          30.0000000000         1606.4908533565
          40.0000000000         2505.3491082753
          50.0000000000         3199.9513508171
          60.0000000000         3413.4149912783
          70.0000000000         3069.3931194246
          80.0000000000         2335.5160245072
          90.0000000000         1487.8235107336
         100.0000000000          726.6280897590
         110.0000000000          221.8284830491
         120.0000000000           20.5287832909
         130.0000000000          145.9069036219
         140.0000000000          683.0815490683
         150.0000000000         1541.4782258386
         160.0000000000         2544.6685941241
         170.0000000000         3254.8137959195
         180.0000000000         3392.3348528783
         190.0000000000         2950.7940398224
         200.0000000000         2205.5905384557
         210.0000000000         1401.4025573716
         220.0000000000          724.3176498417
         230.0000000000          244.2450007731
         240.0000000000           52.9379536123
         250.0000000000          169.8094543700
         260.0000000000          643.0978117656
         270.0000000000         1457.8744338804
         280.0000000000         2431.1866138054
         290.0000000000         3211.2252472276
         300.0000000000         3442.2744857214
         310.0000000000         3017.5342461848
         320.0000000000         2198.3205293713
         330.0000000000         1346.9234352242
         340.0000000000          636.3397751120
         350.0000000000          186.7806853662
         360.0000000000           49.2491263699
