             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1002.9672007698
          20.0000000000         3429.0288390246
          30.0000000000         6701.1420533845
          40.0000000000        10046.8769094413
          50.0000000000        12483.3644075169
          60.0000000000        13194.1239761994
          70.0000000000        12004.4102213499
          80.0000000000         9335.9099263740
          90.0000000000         6001.6957636416
         100.0000000000         2883.9593154199
         110.0000000000          721.1014125009
         120.0000000000           24.9291210818
         130.0000000000          907.8715959788
         140.0000000000         3234.3033909333
         150.0000000000         6467.3701715269
         160.0000000000         9827.0963162646
         170.0000000000        12346.1347809453
         180.0000000000        13196.3740295124
         190.0000000000        12061.3651897980
         200.0000000000         9372.9320998152
         210.0000000000         6015.1278209464
         220.0000000000         2867.5105587428
         230.0000000000          696.3797058039
         240.0000000000            9.9348914652
         250.0000000000          922.1989486694
         260.0000000000         3284.2561512861
         270.0000000000         6525.7350334130
         280.0000000000         9863.6117683685
         290.0000000000        12350.6768957216
         300.0000000000        13210.5386012916
         310.0000000000        12161.7826827852
         320.0000000000         9529.2281063502
         330.0000000000         6123.7211205907
         340.0000000000         2940.2552833584
         350.0000000000          754.8522132397
         360.0000000000           72.5031784967
