             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          544.4682840781
          20.0000000000         1895.1698137898
          30.0000000000         3761.7243045783
          40.0000000000         5683.7556073562
          50.0000000000         7213.3245658220
          60.0000000000         7814.2227184077
          70.0000000000         7283.2495035615
          80.0000000000         5748.5266889045
          90.0000000000         3712.2625127302
         100.0000000000         1788.0940529840
         110.0000000000          475.7143192789
         120.0000000000           15.9420351905
         130.0000000000          497.2040356534
         140.0000000000         1830.7137921760
         150.0000000000         3680.6593709973
         160.0000000000         5625.7163075914
         170.0000000000         7136.7597390161
         180.0000000000         7821.2616835600
         190.0000000000         7394.1427410855
         200.0000000000         5930.2637891012
         210.0000000000         3909.8103730204
         220.0000000000         1926.9829955288
         230.0000000000          513.3219792650
         240.0000000000            5.5188006925
         250.0000000000          487.2218852428
         260.0000000000         1835.4055605033
         270.0000000000         3740.6047836491
         280.0000000000         5706.2666431202
         290.0000000000         7204.7890659063
         300.0000000000         7794.4999635561
         310.0000000000         7287.9255189070
         320.0000000000         5759.0024332920
         330.0000000000         3725.2849920605
         340.0000000000         1771.8815914816
         350.0000000000          438.8601778425
         360.0000000000            9.5751980575
