             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          586.0141938418
          20.0000000000         3124.7990429214
          30.0000000000         7499.6038193914
          40.0000000000        13462.3240377594
          50.0000000000        20489.9942575330
          60.0000000000        28008.1026000395
          70.0000000000        35464.5668312426
          80.0000000000        41986.3557384618
          90.0000000000        43927.8708757430
         100.0000000000        39028.7695304009
         110.0000000000        31905.7936656810
         120.0000000000        24671.8720533983
         130.0000000000        18393.9264456925
         140.0000000000        13778.5891250899
         150.0000000000        11110.9132370071
         160.0000000000        10161.9420662962
         170.0000000000        10369.0257421147
         180.0000000000        11381.0456664735
         190.0000000000        13132.9813354385
         200.0000000000        15742.3816287310
         210.0000000000        19209.0470082332
         220.0000000000        23568.1434190661
         230.0000000000        28708.3706712035
         260.0000000000        46433.0729560887
         270.0000000000        51897.2002492913
         280.0000000000        43096.4617119645
         290.0000000000        36748.9272303795
         300.0000000000        30612.5433240156
         310.0000000000        24926.8002132421
         320.0000000000        19954.4946808924
         330.0000000000        15895.0124374216
         340.0000000000        12963.1535026147
         350.0000000000        11059.8131332612
         360.0000000000           12.2243273073
