             angle (deg)             energy (J/mol)
           0.0000000000           78.8726412510
          10.0000000000          948.9317883311
          20.0000000000         3388.8560657911
          30.0000000000         6764.6686481768
          40.0000000000        10542.6185417671
          50.0000000000        13433.5354318090
          60.0000000000        14670.2876420954
          70.0000000000        13864.9969510915
          80.0000000000        11198.7467094285
          90.0000000000         7690.9791295728
         100.0000000000         4536.4778068613
         110.0000000000         2516.2318053144
         120.0000000000         2270.3353651337
         130.0000000000         3988.6042493624
         140.0000000000         7153.4631691726
         150.0000000000        10952.1912687382
         160.0000000000        14437.8993986563
         170.0000000000        16932.0376225975
         180.0000000000        17580.9404146479
         190.0000000000        16047.0682619034
         200.0000000000        12595.3708569983
         210.0000000000         8291.9980552179
         220.0000000000         4205.1817327080
         230.0000000000         1240.9110021076
         240.0000000000            0.0000000000
         250.0000000000          815.8530770152
         260.0000000000         3118.6448712665
         270.0000000000         6188.4396922493
         280.0000000000         9149.5099384908
         290.0000000000        11399.6552095169
         300.0000000000        12269.5542011577
         310.0000000000        11608.6239942964
         320.0000000000         9517.2216956144
         330.0000000000         6532.4484365933
         340.0000000000         3453.7584222872
         350.0000000000         1106.3751384083
         360.0000000000          297.8419548950
