             angle (deg)             energy (J/mol)
           0.0000000000           31.8184326832
          10.0000000000          264.6503856816
          20.0000000000          944.1350000754
          30.0000000000         1860.5263431372
          40.0000000000         2824.8908195508
          50.0000000000         3730.5176131609
          60.0000000000         4510.6560155673
          70.0000000000         5211.2759038719
          80.0000000000         5919.3259567003
          90.0000000000         6666.7296268132
         100.0000000000         7439.8290640673
         110.0000000000         8149.4806718858
         120.0000000000         8779.2540718964
         130.0000000000         9289.0631323401
         140.0000000000         9612.8739063095
         150.0000000000         9668.9992169203
         160.0000000000         9373.1552673310
         170.0000000000         8743.8492062779
         180.0000000000         7912.7052181656
         190.0000000000         7033.5250844758
         200.0000000000         6251.3545451788
         210.0000000000         5713.2662257434
         220.0000000000         5514.7127988964
         230.0000000000         5756.1747699997
         240.0000000000         6411.3945146163
         250.0000000000         7387.0538915157
         260.0000000000         8541.7408526083
         270.0000000000         9575.8911153974
         280.0000000000        10145.4040426725
         290.0000000000         9977.2329002004
         300.0000000000         8972.5354949648
         310.0000000000         7264.0623505388
         320.0000000000         5186.6933486882
         330.0000000000         3139.6724996277
         340.0000000000         1465.1260643617
         350.0000000000          399.8426244184
