             angle (deg)             energy (J/mol)
           0.0000000000            1.4860330241
          10.0000000000          413.4190843300
          20.0000000000         1750.4050026168
          30.0000000000         3810.3616895331
          40.0000000000         6154.8096645699
          50.0000000000         8139.9999920176
          60.0000000000         9092.8595280887
          70.0000000000         8587.9365228473
          80.0000000000         6802.1607860476
          90.0000000000         4405.5204993826
         100.0000000000         2128.8340502469
         110.0000000000          564.9471831007
         120.0000000000            0.7298890024
         130.0000000000          505.4323523493
         140.0000000000         1980.1152363146
         150.0000000000         4112.4832091596
         160.0000000000         6417.6116983476
         170.0000000000         8294.4082641194
         180.0000000000         9109.9541576165
         190.0000000000         8494.9308157807
         200.0000000000         6706.4403123319
         210.0000000000         4360.2174993559
         220.0000000000         2139.2441572352
         230.0000000000          570.2060593697
         240.0000000000            9.0080901158
         250.0000000000          448.5377703563
         260.0000000000         1905.5379127768
         270.0000000000         4081.5600718623
         280.0000000000         6477.6043700940
         290.0000000000         8374.8693328509
         300.0000000000         9124.0005818083
         310.0000000000         8455.4065408700
         320.0000000000         6597.2851556901
         330.0000000000         4268.1202153341
         340.0000000000         2122.9476795811
         350.0000000000          603.0038035904
         360.0000000000            0.0000000000
