             angle (deg)             energy (J/mol)
           0.0000000000           35.5597701137
          10.0000000000         1098.7086787100
          20.0000000000         3752.9288800899
          30.0000000000         7603.2953108516
          40.0000000000        12036.2575346738
          50.0000000000        16337.7215980951
          60.0000000000        19920.9617968744
          70.0000000000        22403.2485144258
          80.0000000000        23624.8909729803
          90.0000000000        23620.4958862828
         100.0000000000        22639.2021867250
         110.0000000000        21232.9109485298
         120.0000000000        20032.7765848036
         130.0000000000        19380.2847344951
         140.0000000000        19371.5444455176
         150.0000000000        19861.2789339690
         160.0000000000        20565.9053350719
         170.0000000000        21199.1732753007
         180.0000000000        21473.7821819949
         190.0000000000        21273.4224113943
         200.0000000000        20646.6473321529
         210.0000000000        19822.8836241468
         220.0000000000        19041.2696907538
         230.0000000000        18509.5823398872
         240.0000000000        18338.5073946859
         250.0000000000        18501.2437524679
         260.0000000000        18838.0612527858
         270.0000000000        19065.8496204655
         280.0000000000        18846.5258643579
         290.0000000000        17852.3514624552
         300.0000000000        15902.0697811770
         310.0000000000        13064.4951717777
         320.0000000000         9587.3566733601
         330.0000000000         5956.8732300821
         340.0000000000         2774.5914933000
         350.0000000000          652.4603443449
         360.0000000000            0.0000000000
