             angle (deg)             energy (J/mol)
           0.0000000000           47.8444838761
          10.0000000000         1503.6080159569
          20.0000000000         4592.6556272124
          30.0000000000         8550.8749667277
          40.0000000000        12882.3222385871
          50.0000000000        17073.6912165074
          60.0000000000        20756.9524578091
          70.0000000000        23610.2564367715
          80.0000000000        25485.9056591503
          90.0000000000        26438.0326807469
         100.0000000000        26740.2198379219
         110.0000000000        26740.8210774485
         120.0000000000        26739.4138094826
         130.0000000000        26971.8283079411
         140.0000000000        27549.1494719000
         150.0000000000        28438.4220268730
         160.0000000000        29481.2259371650
         170.0000000000        30430.8508574414
         180.0000000000        31046.1498766826
         190.0000000000        31177.0179170654
         200.0000000000        30859.7577652156
         210.0000000000        30274.0271253447
         220.0000000000        29708.6047268702
         230.0000000000        29467.0666163300
         240.0000000000        29622.7220009584
         250.0000000000        30167.0248786530
         260.0000000000        30981.4549347205
         270.0000000000        31670.1576790868
         280.0000000000        31712.5595017072
         290.0000000000        30499.7072166969
         300.0000000000        27462.6760084991
         310.0000000000        22489.8768823218
         320.0000000000        16126.5185129844
         330.0000000000         9551.7443932076
         340.0000000000         4101.2828267139
         350.0000000000          788.3168345356
         360.0000000000            0.0000000000
