             angle (deg)             energy (J/mol)
           0.0000000000           42.8822892369
          10.0000000000          773.5195172662
          20.0000000000         2555.7271995844
          30.0000000000         4991.4611792596
          40.0000000000         7385.3972010146
          50.0000000000         8955.8740728096
          60.0000000000         9178.5952257725
          70.0000000000         8017.3681444485
          80.0000000000         5978.8644169990
          90.0000000000         3677.7686956286
         100.0000000000         1706.4016250063
         110.0000000000          412.5868007220
         120.0000000000          101.3915535805
         130.0000000000          861.5709059606
         140.0000000000         2625.7361533264
         150.0000000000         4991.0095932839
         160.0000000000         7302.9722585624
         170.0000000000         8905.2518100588
         180.0000000000         9275.8384895693
         190.0000000000         8272.3671927850
         200.0000000000         6292.9555904534
         210.0000000000         3936.6718621578
         220.0000000000         1810.0064748427
         230.0000000000          409.2419139056
         240.0000000000            0.0000000000
         250.0000000000          784.8669276415
         260.0000000000         2601.0669566681
         270.0000000000         5019.1024416676
         280.0000000000         7388.3823944233
         290.0000000000         8906.4411614531
         300.0000000000         9138.3410620087
         310.0000000000         8109.7437314970
         320.0000000000         6168.8560887618
         330.0000000000         3897.0556948284
         340.0000000000         1824.5806245964
         350.0000000000          401.3496613686
         360.0000000000            2.4338382996
