             angle (deg)             energy (J/mol)
           0.0000000000           16.6640474781
          10.0000000000          676.2447475057
          20.0000000000         2689.5489274123
          30.0000000000         5698.6028090432
          40.0000000000         9024.4941370396
          50.0000000000        11767.4273530957
          60.0000000000        12943.6539151296
          70.0000000000        12103.1789005508
          80.0000000000         9665.1528595614
          90.0000000000         6434.4726583220
         100.0000000000         3252.7580294816
         110.0000000000          957.9818862988
         120.0000000000           37.8807119193
         130.0000000000          698.1939262722
         140.0000000000         2724.5022069059
         150.0000000000         5731.2351467311
         160.0000000000         8988.9448689635
         170.0000000000        11645.5070162243
         180.0000000000        12902.0896269120
         190.0000000000        12260.5776170055
         200.0000000000         9949.8489367439
         210.0000000000         6663.8547044263
         220.0000000000         3391.7362389730
         230.0000000000          991.1445750207
         240.0000000000           28.6730838351
         250.0000000000          623.9657942538
         260.0000000000         2668.6630760365
         270.0000000000         5660.5278100996
         280.0000000000         8994.9493872167
         290.0000000000        11743.6324478973
         300.0000000000        12926.8139590812
         310.0000000000        12056.0012936006
         320.0000000000         9491.9066258070
         330.0000000000         6162.8909530378
         340.0000000000         3018.6973425597
         350.0000000000          828.8703052520
         360.0000000000            0.0000000000
