             angle (deg)             energy (J/mol)
           0.0000000000            9.5489428888
          10.0000000000          104.6314203194
          20.0000000000          690.8845346587
          30.0000000000         1889.2309330852
          40.0000000000         3766.6707462356
          50.0000000000         6330.6315134601
          60.0000000000         9469.3168251340
          70.0000000000        13034.2047798214
          80.0000000000        16757.9696074221
          90.0000000000        20407.0809720481
         100.0000000000        23743.4585466189
         110.0000000000        26441.2384160500
         120.0000000000        28236.0800037992
         130.0000000000        29010.0852384768
         140.0000000000        28679.7711013331
         150.0000000000        27308.1627163197
         160.0000000000        25081.1192183973
         170.0000000000        22230.8503172611
         180.0000000000        19001.0102758966
         190.0000000000        15618.3766449302
         200.0000000000        12288.1558676356
         210.0000000000         9200.5575321979
         220.0000000000         6568.6724581608
         230.0000000000         4538.2368916694
         240.0000000000         3106.1238624787
         250.0000000000         2234.5944353563
         260.0000000000         1827.7207223510
         270.0000000000         1748.9531011776
         280.0000000000         1830.2727082379
         290.0000000000         1946.3644354265
         300.0000000000         1991.4678974848
         310.0000000000         1882.6986894194
         320.0000000000         1604.8184098736
         330.0000000000         1178.1746829221
         340.0000000000          689.7870758323
         350.0000000000          252.1215003283
         360.0000000000            0.0000000000
