             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1643.0351858026
          20.0000000000         5012.6332100783
          30.0000000000         9523.4913892353
          40.0000000000        14609.6149657641
          50.0000000000        19853.5547134368
          60.0000000000        24982.6209658068
          70.0000000000        29759.4317785337
          80.0000000000        33673.4403259044
          90.0000000000        35933.7462815329
         100.0000000000        36405.2860560088
         110.0000000000        36503.4036112655
         120.0000000000        36979.5038791209
         130.0000000000        37950.0960411541
         140.0000000000        39259.1991510634
         150.0000000000        40638.7654261624
         160.0000000000        41737.4189693614
         170.0000000000        42322.9763262833
         180.0000000000        42329.4193030024
         190.0000000000        41877.9934827495
         200.0000000000        41176.7671041232
         210.0000000000        40532.8107538795
         220.0000000000        40173.2800542079
         230.0000000000        40211.8302686745
         240.0000000000        40617.4174867733
         250.0000000000        41180.4638079312
         260.0000000000        41517.9744401944
         270.0000000000        40785.5466212441
         280.0000000000        38352.9737433988
         290.0000000000        34356.2803290031
         300.0000000000        28949.1972711952
         310.0000000000        22411.0357470344
         320.0000000000        15403.6422625443
         330.0000000000         8777.5369949403
         340.0000000000         3562.9739652348
         350.0000000000          564.5559835801
