             angle (deg)             energy (J/mol)
           0.0000000000           72.7604775974
          10.0000000000          574.3648510417
          20.0000000000         2043.2926392889
          30.0000000000         4161.2912515914
          40.0000000000         6465.8473817442
          50.0000000000         8284.3315956688
          60.0000000000         9004.9367887207
          70.0000000000         8363.1779819004
          80.0000000000         6564.7473358929
          90.0000000000         4230.4836748565
         100.0000000000         2045.8656292511
         110.0000000000          560.9039132454
         120.0000000000           61.6546131917
         130.0000000000          617.7486106717
         140.0000000000         2086.4873629882
         150.0000000000         4123.8411215725
         160.0000000000         6350.5643084670
         170.0000000000         8156.7611830078
         180.0000000000         9030.1862209796
         190.0000000000         8598.8087176996
         200.0000000000         6978.3869621173
         210.0000000000         4677.3595037675
         220.0000000000         2400.9959909826
         230.0000000000          729.9992317441
         240.0000000000           47.8392329319
         250.0000000000          491.4016809900
         260.0000000000         1965.0081100549
         270.0000000000         4105.2473316601
         280.0000000000         6437.4499753145
         290.0000000000         8257.6433896296
         300.0000000000         9008.7070066427
         310.0000000000         8410.0746603518
         320.0000000000         6669.2107242075
         330.0000000000         4360.0337143692
         340.0000000000         2142.0088084510
         350.0000000000          564.4955971250
         360.0000000000            0.0000000000
