             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          496.9992465916
          20.0000000000         1365.6248708356
          30.0000000000         2578.8814828762
          40.0000000000         4402.0495884133
          50.0000000000         7019.5259192294
          60.0000000000        10467.3927197573
          70.0000000000        14600.4913538315
          80.0000000000        19091.3274710351
          90.0000000000        23522.0685220358
         100.0000000000        27374.7558947525
         110.0000000000        30118.7209320864
         120.0000000000        31319.7637188574
         130.0000000000        30781.6806503662
         140.0000000000        28709.6020305990
         160.0000000000        22165.2653307081
         170.0000000000        18900.6767987626
         180.0000000000        16255.4121774596
         190.0000000000        14473.4224117130
         200.0000000000        13650.8191746097
         210.0000000000        13784.9822172423
         220.0000000000        14819.8072335228
         230.0000000000        16718.5897349689
         240.0000000000        19359.6378036169
         250.0000000000        22436.9047971245
         260.0000000000        25313.0742544638
         270.0000000000        27049.5903627067
         280.0000000000        27031.0753377034
         290.0000000000        25312.7434413983
         300.0000000000        21896.6845716651
         310.0000000000        17106.9405465545
         320.0000000000        11714.1769650210
         330.0000000000         6700.1942479599
         340.0000000000         2860.2352987143
         350.0000000000          630.8997394777
         360.0000000000           20.3449983042
