             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          365.7478832537
          20.0000000000         1465.0945583981
          30.0000000000         3040.3183340312
          40.0000000000         4875.0622685528
          50.0000000000         6760.7356491941
          60.0000000000         8440.9846701394
          70.0000000000         9192.7046620407
          80.0000000000         9525.5261515980
          90.0000000000        10532.9960847642
         100.0000000000        12433.0939617575
         110.0000000000        14850.0398643469
         120.0000000000        17318.7291182100
         130.0000000000        19623.1460968496
         140.0000000000        21788.6688820001
         150.0000000000        23878.0547967733
         160.0000000000        25933.2435759254
         170.0000000000        27883.0211613383
         180.0000000000         2982.4706955201
         190.0000000000         3957.8491439207
         200.0000000000         5429.2842845816
         210.0000000000         6947.0647487339
         220.0000000000         8377.1010075607
         230.0000000000        10038.1707518995
         240.0000000000        11931.4239507647
         250.0000000000        13822.1435423461
         260.0000000000        15415.1261988117
         270.0000000000        16488.6484574884
         280.0000000000        16844.9576687258
         290.0000000000        16318.6525926597
         300.0000000000        14829.2012719165
         310.0000000000        12275.6663648113
         320.0000000000         8847.1258686702
         330.0000000000         5244.2311780599
         340.0000000000         2302.0303992854
         350.0000000000          573.2096310831
         360.0000000000           59.6749861907
