             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          634.6988377420
          20.0000000000         2363.0128846070
          30.0000000000         4890.3663073089
          40.0000000000         8037.9520633996
          50.0000000000        11386.8165153225
          60.0000000000        14712.5450624075
          70.0000000000        17911.4540897599
          80.0000000000        20750.6932660766
          90.0000000000        23028.2408793117
         100.0000000000        24587.4097231113
         110.0000000000        25269.8900328021
         120.0000000000        25038.6123758484
         130.0000000000        24030.8168807101
         140.0000000000        22381.9032006580
         150.0000000000        20344.7936135154
         160.0000000000        18094.2256370051
         170.0000000000        15747.4514690692
         180.0000000000        13401.0369945410
         190.0000000000        11145.7719987592
         200.0000000000         9137.4090095658
         210.0000000000         7586.7835422473
         220.0000000000         6699.2490681565
         230.0000000000         6653.5128606080
         240.0000000000         7507.9844149611
         250.0000000000         9159.3765669354
         260.0000000000        11298.3135405031
         270.0000000000        13429.5551740302
         280.0000000000        14947.9395031813
         290.0000000000        15319.7050320486
         300.0000000000        14252.0717696590
         310.0000000000        11832.6211402774
         320.0000000000         8624.6856443553
         330.0000000000         5267.2725648578
         340.0000000000         2442.4657613094
         350.0000000000          602.2004006232
         360.0000000000            0.0000000000
